Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 0, Hit: (-1.56, 3.00, -14.55), Time: 0.0096s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 1, Hit: (-4.95, 0.35, -15.28), Time: 0.0223s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 0, Hit: (-2.51, 3.00, -18.93), Time: 0.0186s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 1, Hit: (-3.24, 2.58, -19.95), Time: 0.0224s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 0, Hit: (1.17, 0.00, -15.61), Time: 0.0055s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 0, Hit: (-0.14, 3.00, -15.42), Time: 0.0079s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 1, Hit: (-1.86, 0.00, -17.54), Time: 0.0197s, Energy: 0.16
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 2, Hit: (-2.38, 3.00, -13.45), Time: 0.0346s, Energy: 0.13
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, 4.00), Reflection: 3, Hit: (-2.81, 0.50, -10.05), Time: 0.0469s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 0, Hit: (3.09, 2.95, -10.05), Time: 0.0142s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 1, Hit: (-4.95, 1.36, -14.87), Time: 0.0419s, Energy: 0.02
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 0, Hit: (4.47, 1.39, -10.05), Time: 0.0154s, Energy: 0.15
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 0, Hit: (-3.73, 3.00, -13.98), Time: 0.0150s, Energy: 0.80
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 1, Hit: (-4.95, 2.48, -13.98), Time: 0.0188s, Energy: 0.12
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 0, Hit: (-2.10, 0.00, -17.60), Time: 0.0142s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (-4.00, 1.00, -4.00), Reflection: 0, Hit: (-0.66, 0.00, -11.65), Time: 0.0089s, Energy: 0.20
Source: (1.00, 1.00, -14.00), Receiver: (4.00, 1.00, -11.00), Reflection: 0, Hit: (2.58, 0.00, -15.21), Time: 0.0065s, Energy: 0.20
